,ID,Class,Title,Year,Semester,course evaluation,attendance rate,learning load,course difficulty,teaching ability,achievement level,recommendation rate
57262,IFLS012,M3,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.8,1.0,2.3,2.9,4.8,3.6,
57264,IFLS012,M1,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,4.0,1.0,2.4,2.8,4.6,3.0,
57265,IFLS012,LY,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,2.7,1.0,2.5,2.8,4.7,1.8,
57268,IFLS012,LV,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.2,1.0,4.4,2.8,4.6,3.4,
57269,IFLS012,LU,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.2,0.75,3.3,2.9,4.4,3.7,
57270,IFLS012,LT,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,4.0,1.0,3.7,3.1,4.7,3.4,
57271,IFLS012,LS,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.7,1.0,3.0,3.2,4.8,3.3,
57274,IFLS012,LO,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.0,1.0,4.2,4.0,4.7,3.3,
57275,IFLS012,LN,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,4.4,1.0,2.4,2.4,4.8,3.5,
57276,IFLS012,LM,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.4,1.0,3.4,3.1,4.9,3.4,
57277,IFLS012,LL,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,2.9,0.75,3.4,2.9,4.3,2.6,
57278,IFLS012,LK,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,4.2,1.0,2.9,2.9,4.9,3.4,
57279,IFLS012,LJ,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.4,0.75,3.0,2.9,4.4,2.7,
57280,IFLS012,LI,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,4.1,1.0,3.0,1.9,4.5,3.4,
57281,IFLS012,LH,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,4.3,1.0,1.8,2.2,4.7,3.0,
57283,IFLS012,LF,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.8,1.0,1.8,2.5,4.5,2.0,
57284,IFLS012,LE,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.6,1.0,3.3,4.0,4.8,3.3,
57285,IFLS012,LD,ACADEMIC ENGLISHⅡ(영강) 초급반(일반 2012-2019학번),2019,2학기,3.0,0.75,3.0,2.8,4.3,2.7,
